##数据格式为:
##数据位置
##震相,相对时间（秒）,置信度,绝对时间（格式%Y-%m-%d %H:%M:%S.%f）,信噪比,前后200个采样点振幅均值,台站,初动,初动概率
#/Users/yuziye/Documents/GitHub/sage/pnsn/data/0521-0522foryangbi/YN.YSW03.00
Pg,59041.960,0.732,2021-05-21 16:24:01.965000,91.809,7768.343325,YN.YSW03.00,N,0.000
Pg,109337.370,0.729,2021-05-22 06:22:17.375000,6.437,834.626358,YN.YSW03.00,N,0.000
Pg,171569.620,0.728,2021-05-22 23:39:29.625000,3.072,127.407678,YN.YSW03.00,N,0.000
Pg,56782.120,0.728,2021-05-21 15:46:22.125000,8.221,785.538073,YN.YSW03.00,N,0.000
Pg,139786.230,0.726,2021-05-22 14:49:46.235000,306.298,10643.309754,YN.YSW03.00,N,0.000
Pg,163269.140,0.725,2021-05-22 21:21:09.145000,6.509,86.405361,YN.YSW03.00,N,0.000
Pg,136356.940,0.725,2021-05-22 13:52:36.945000,8.564,180.437738,YN.YSW03.00,N,0.000
Pg,155885.110,0.725,2021-05-22 19:18:05.115000,12.763,281.688825,YN.YSW03.00,N,0.000
Pg,93892.000,0.725,2021-05-22 02:04:52.005000,3.392,121.633627,YN.YSW03.00,N,0.000
Pg,161313.460,0.723,2021-05-22 20:48:33.465000,4.374,56.397031,YN.YSW03.00,N,0.000
Pg,145887.030,0.723,2021-05-22 16:31:27.035000,10.617,304.395729,YN.YSW03.00,N,0.000
Pg,166408.110,0.722,2021-05-22 22:13:28.115000,134.726,5815.259251,YN.YSW03.00,N,0.000
Pg,96089.870,0.722,2021-05-22 02:41:29.875000,5.502,1822.270906,YN.YSW03.00,N,0.000
Pg,23456.110,0.720,2021-05-21 06:30:56.115000,3.032,153.426443,YN.YSW03.00,N,0.000
Pg,152240.410,0.719,2021-05-22 18:17:20.415000,10.627,435.703399,YN.YSW03.00,N,0.000
Pg,160875.430,0.718,2021-05-22 20:41:15.435000,8.935,298.189673,YN.YSW03.00,N,0.000
Pg,80489.670,0.717,2021-05-21 22:21:29.675000,4.128,100.487983,YN.YSW03.00,N,0.000
Pg,156567.260,0.716,2021-05-22 19:29:27.265000,3.630,65.111833,YN.YSW03.00,N,0.000
Pg,107239.990,0.716,2021-05-22 05:47:19.995000,4.930,210.091102,YN.YSW03.00,N,0.000
Pg,141070.540,0.715,2021-05-22 15:11:10.545000,2.721,75.104089,YN.YSW03.00,N,0.000
Pg,76117.430,0.714,2021-05-21 21:08:37.435000,202.171,12560.618411,YN.YSW03.00,N,0.000
Pg,138242.650,0.713,2021-05-22 14:24:02.655000,43.297,1303.458434,YN.YSW03.00,N,0.000
Pg,116278.780,0.712,2021-05-22 08:17:58.785000,87.410,4667.844944,YN.YSW03.00,N,0.000
Pg,83931.590,0.711,2021-05-21 23:18:51.595000,16.722,1051.372478,YN.YSW03.00,N,0.000
Pg,152743.580,0.710,2021-05-22 18:25:43.585000,51.107,1156.114724,YN.YSW03.00,N,0.000
Pg,129821.420,0.709,2021-05-22 12:03:41.425000,5.417,227.856001,YN.YSW03.00,N,0.000
Pg,14562.470,0.708,2021-05-21 04:02:42.475000,7.360,512.394475,YN.YSW03.00,N,0.000
Pg,82864.640,0.708,2021-05-21 23:01:04.645000,5.377,233.608706,YN.YSW03.00,N,0.000
Pg,66815.500,0.707,2021-05-21 18:33:35.505000,7.038,995.263825,YN.YSW03.00,N,0.000
Pg,72503.310,0.707,2021-05-21 20:08:23.315000,3.323,128.073464,YN.YSW03.00,N,0.000
Pg,53426.320,0.706,2021-05-21 14:50:26.325000,5.295,1234.230119,YN.YSW03.00,N,0.000
Pg,111032.250,0.706,2021-05-22 06:50:32.255000,36.086,1598.561723,YN.YSW03.00,N,0.000
Pg,153687.560,0.705,2021-05-22 18:41:27.565000,15.707,292.327959,YN.YSW03.00,N,0.000
Pg,138797.110,0.705,2021-05-22 14:33:17.115000,7.198,400.978639,YN.YSW03.00,N,0.000
Pg,98628.180,0.704,2021-05-22 03:23:48.185000,4.188,600.525113,YN.YSW03.00,N,0.000
Pg,84724.640,0.704,2021-05-21 23:32:04.645000,5.967,238.981896,YN.YSW03.00,N,0.000
Pg,134024.280,0.703,2021-05-22 13:13:44.285000,20.998,2226.191496,YN.YSW03.00,N,0.000
Pg,126814.670,0.703,2021-05-22 11:13:34.675000,4.110,184.687667,YN.YSW03.00,N,0.000
Pg,97961.680,0.702,2021-05-22 03:12:41.685000,11.633,951.023837,YN.YSW03.00,N,0.000
Pg,99717.540,0.702,2021-05-22 03:41:57.545000,10.555,487.000391,YN.YSW03.00,N,0.000
Pg,73880.940,0.701,2021-05-21 20:31:20.945000,22.819,879.592554,YN.YSW03.00,N,0.000
Pg,73741.730,0.700,2021-05-21 20:29:01.735000,3.480,71.252540,YN.YSW03.00,N,0.000
Pg,53902.220,0.700,2021-05-21 14:58:22.225000,4.970,792.068006,YN.YSW03.00,N,0.000
Pg,143439.900,0.700,2021-05-22 15:50:39.905000,7.377,223.825739,YN.YSW03.00,N,0.000
Pg,50758.560,0.699,2021-05-21 14:05:58.565000,8.443,5920.972578,YN.YSW03.00,N,0.000
Pg,70604.800,0.699,2021-05-21 19:36:44.805000,3.020,179.086124,YN.YSW03.00,N,0.000
Pg,68261.270,0.698,2021-05-21 18:57:41.275000,9.443,410.140009,YN.YSW03.00,N,0.000
Pg,149140.100,0.698,2021-05-22 17:25:40.105000,3.794,77.376498,YN.YSW03.00,N,0.000
Pg,43565.960,0.697,2021-05-21 12:06:05.965000,1.466,49.844472,YN.YSW03.00,N,0.000
Pg,122328.140,0.696,2021-05-22 09:58:48.145000,5.784,299.194245,YN.YSW03.00,N,0.000
Pg,131760.950,0.696,2021-05-22 12:36:00.955000,6.067,300.427262,YN.YSW03.00,N,0.000
Pg,97216.990,0.694,2021-05-22 03:00:16.995000,11.304,795.215596,YN.YSW03.00,N,0.000
Pg,103931.440,0.692,2021-05-22 04:52:11.445000,18.161,2022.937923,YN.YSW03.00,N,0.000
Pg,147942.120,0.689,2021-05-22 17:05:42.125000,3.008,326.448370,YN.YSW03.00,N,0.000
Pg,150198.520,0.687,2021-05-22 17:43:18.525000,2.330,52.282973,YN.YSW03.00,N,0.000
Pg,164486.860,0.687,2021-05-22 21:41:26.865000,2.680,82.430905,YN.YSW03.00,N,0.000
Pg,71287.350,0.687,2021-05-21 19:48:07.355000,4.220,126.191961,YN.YSW03.00,N,0.000
Pg,17060.090,0.684,2021-05-21 04:44:20.095000,6.940,252.405554,YN.YSW03.00,N,0.000
Pg,108990.890,0.680,2021-05-22 06:16:30.895000,178.859,10828.224713,YN.YSW03.00,N,0.000
Pg,132056.390,0.680,2021-05-22 12:40:56.395000,191.792,8811.205613,YN.YSW03.00,N,0.000
Pg,70009.120,0.680,2021-05-21 19:26:49.125000,5.738,162.478931,YN.YSW03.00,N,0.000
Pg,49636.260,0.679,2021-05-21 13:47:16.265000,6.994,734.576960,YN.YSW03.00,N,0.000
Pg,78570.950,0.679,2021-05-21 21:49:30.955000,44.145,2162.370638,YN.YSW03.00,N,0.000
Pg,49069.500,0.679,2021-05-21 13:37:49.505000,20.771,9304.502858,YN.YSW03.00,N,0.000
Pg,159087.680,0.677,2021-05-22 20:11:27.685000,3.050,47.875189,YN.YSW03.00,N,0.000
Pg,106357.000,0.676,2021-05-22 05:32:37.005000,3.677,187.155576,YN.YSW03.00,N,0.000
Pg,159736.840,0.676,2021-05-22 20:22:16.845000,2.871,46.185652,YN.YSW03.00,N,0.000
Pg,141209.640,0.674,2021-05-22 15:13:29.645000,6.427,134.569585,YN.YSW03.00,N,0.000
Pg,71084.960,0.673,2021-05-21 19:44:44.965000,8.129,150.632292,YN.YSW03.00,N,0.000
Pg,99528.960,0.672,2021-05-22 03:38:48.965000,6.192,191.080606,YN.YSW03.00,N,0.000
Pg,108244.670,0.672,2021-05-22 06:04:04.675000,5.604,317.315140,YN.YSW03.00,N,0.000
Pg,136109.960,0.672,2021-05-22 13:48:29.965000,5.561,210.884149,YN.YSW03.00,N,0.000
Pg,136476.040,0.672,2021-05-22 13:54:36.045000,3.154,74.143388,YN.YSW03.00,N,0.000
Pg,92543.120,0.671,2021-05-22 01:42:23.125000,8.604,301.555461,YN.YSW03.00,N,0.000
Pg,64584.230,0.670,2021-05-21 17:56:24.235000,12.641,733.240348,YN.YSW03.00,N,0.000
Pg,101929.450,0.669,2021-05-22 04:18:49.455000,5.822,245.808850,YN.YSW03.00,N,0.000
Pg,115628.580,0.669,2021-05-22 08:07:08.585000,10.479,448.498670,YN.YSW03.00,N,0.000
Pg,137837.200,0.668,2021-05-22 14:17:17.205000,2.820,76.897060,YN.YSW03.00,N,0.000
Pg,78871.470,0.668,2021-05-21 21:54:31.475000,92.689,5418.301824,YN.YSW03.00,N,0.000
Pg,116613.890,0.667,2021-05-22 08:23:33.895000,9.109,312.020395,YN.YSW03.00,N,0.000
Pg,155824.460,0.667,2021-05-22 19:17:04.465000,2.600,41.913141,YN.YSW03.00,N,0.000
Pg,167163.260,0.666,2021-05-22 22:26:03.265000,3.797,118.891472,YN.YSW03.00,N,0.000
Pg,135782.420,0.666,2021-05-22 13:43:02.425000,2.670,77.162807,YN.YSW03.00,N,0.000
Pg,100334.390,0.663,2021-05-22 03:52:14.395000,2.636,158.049231,YN.YSW03.00,N,0.000
Pg,121818.830,0.660,2021-05-22 09:50:18.835000,38.207,1956.627022,YN.YSW03.00,N,0.000
Pg,62103.880,0.660,2021-05-21 17:15:03.885000,3.492,252.760045,YN.YSW03.00,N,0.000
Pg,48133.210,0.660,2021-05-21 13:22:13.215000,7.224,405835.316766,YN.YSW03.00,N,0.000
Pg,165482.260,0.659,2021-05-22 21:58:02.265000,3.278,34.068299,YN.YSW03.00,N,0.000
Pg,97084.620,0.658,2021-05-22 02:58:04.625000,9.488,430.183384,YN.YSW03.00,N,0.000
Pg,94262.960,0.658,2021-05-22 02:11:02.965000,8.636,1028.603190,YN.YSW03.00,N,0.000
Pg,79294.780,0.658,2021-05-21 22:01:34.785000,7.575,181.331410,YN.YSW03.00,N,0.000
Pg,145318.570,0.657,2021-05-22 16:21:58.575000,4.986,91.017912,YN.YSW03.00,N,0.000
Pg,56461.660,0.657,2021-05-21 15:41:01.665000,3.160,313.461975,YN.YSW03.00,N,0.000
Pg,61499.700,0.656,2021-05-21 17:04:59.705000,4.666,896.920928,YN.YSW03.00,N,0.000
Pg,129014.390,0.656,2021-05-22 11:50:14.395000,10.231,499.312947,YN.YSW03.00,N,0.000
Pg,55431.640,0.656,2021-05-21 15:23:51.645000,45.003,133007.705379,YN.YSW03.00,N,0.000
Pg,162367.690,0.656,2021-05-22 21:06:07.695000,15.978,431.960220,YN.YSW03.00,N,0.000
Pg,162903.430,0.655,2021-05-22 21:15:03.435000,5.817,127.069912,YN.YSW03.00,N,0.000
Pg,103330.700,0.654,2021-05-22 04:42:10.705000,2.469,315.608620,YN.YSW03.00,N,0.000
Pg,46558.240,0.654,2021-05-21 12:55:58.245000,78.609,1328.242431,YN.YSW03.00,N,0.000
Pg,129233.690,0.654,2021-05-22 11:53:53.695000,4.427,237.379383,YN.YSW03.00,N,0.000
Pg,166880.490,0.653,2021-05-22 22:21:20.495000,69.567,1816.241890,YN.YSW03.00,N,0.000
Pg,100987.150,0.651,2021-05-22 04:03:07.155000,6.914,324.933486,YN.YSW03.00,N,0.000
Pg,66131.560,0.651,2021-05-21 18:22:11.565000,18.419,1065.055684,YN.YSW03.00,N,0.000
Pg,139052.990,0.651,2021-05-22 14:37:32.995000,2.755,83.971636,YN.YSW03.00,N,0.000
Pg,167210.400,0.650,2021-05-22 22:26:50.405000,11.691,226.387883,YN.YSW03.00,N,0.000
Pg,68366.500,0.650,2021-05-21 18:59:26.505000,3.186,83.842119,YN.YSW03.00,N,0.000
Pg,60435.340,0.649,2021-05-21 16:47:15.345000,7.707,1937.239037,YN.YSW03.00,N,0.000
Pg,150619.020,0.649,2021-05-22 17:50:19.025000,3.802,81.754746,YN.YSW03.00,N,0.000
Pg,153460.270,0.648,2021-05-22 18:37:40.275000,12.354,205.936641,YN.YSW03.00,N,0.000
Pg,137400.310,0.648,2021-05-22 14:10:00.315000,6.802,260.735390,YN.YSW03.00,N,0.000
Pg,165744.880,0.648,2021-05-22 22:02:24.885000,3.215,36.426764,YN.YSW03.00,N,0.000
Pg,110584.230,0.647,2021-05-22 06:43:04.235000,10.052,333.326463,YN.YSW03.00,N,0.000
Pg,137423.940,0.646,2021-05-22 14:10:23.945000,148.327,7988.831312,YN.YSW03.00,N,0.000
Pg,109500.520,0.645,2021-05-22 06:25:00.525000,6.071,356.651943,YN.YSW03.00,N,0.000
